Date,SPX.open,SPX.high,SPX.low,SPX.close,SPX.volume,SPX.total_ret_index_gross_dvd,SPX.total_ret_index_net_dvd
2014-09-16,1981.93,2002.28,1979.06,1998.98,490373120.0,7854.909,5179.268
2014-09-17,1999.3,2010.74,1993.29,2001.57,508634100.0,7865.301,5186.12
2014-09-18,2003.07,2012.34,2003.07,2011.36,549523300.0,7904.847,5212.1953
2014-09-19,2012.74,2019.26,2006.59,2010.4,1578831500.0,7901.195,5209.787
2014-09-22,2009.08,2009.08,1991.01,1994.29,561021440.0,7837.88,5168.039
2014-09-23,1992.78,1995.41,1982.77,1982.77,535353820.0,7793.416,5138.721
2014-09-24,1983.34,1999.79,1978.63,1998.3,523858300.0,7854.5806,5179.0513
2014-09-25,1997.32,1997.32,1965.99,1965.99,554327000.0,7727.5815,5095.3125
2014-09-26,1966.22,1986.37,1966.22,1982.85,482800580.0,7795.327,5139.9814
2014-09-29,1978.96,1981.28,1964.04,1977.8,448843840.0,7776.1216,5127.318
2014-09-30,1978.21,1985.17,1968.96,1972.29,613410900.0,7754.887,5113.3164
2014-10-01,1971.44,1971.44,1941.72,1946.16,612042400.0,7652.8223,5046.0186
2014-10-02,1945.83,1952.32,1926.03,1946.17,530950200.0,7653.528,5046.4834
2014-10-03,1948.12,1971.19,1948.12,1967.9,573337860.0,7739.076,5102.8916
2014-10-06,1970.01,1977.84,1958.43,1964.82,451497760.0,7727.1636,5095.0366
2014-10-07,1962.36,1962.36,1934.87,1935.1,535635070.0,7610.337,5018.005
2014-10-08,1935.55,1970.36,1925.25,1968.89,630988900.0,7745.854,5107.361
2014-10-09,1967.68,1967.68,1927.56,1928.21,629544960.0,7586.212,5002.0977
2014-10-10,1925.63,1936.98,1906.05,1906.13,784976400.0,7500.108,4945.3237
2014-10-13,1905.65,1912.09,1874.14,1874.74,700280200.0,7376.5967,4863.8843
2014-10-14,1877.11,1898.71,1871.79,1877.7,717277800.0,7388.279,4871.5874
2014-10-15,1874.18,1874.18,1820.66,1862.49,957773440.0,7329.1255,4832.5835
2014-10-16,1855.95,1876.01,1835.02,1862.76,815644900.0,7330.4165,4833.4346
2014-10-17,1864.91,1898.16,1864.91,1886.76,821580000.0,7424.8623,4895.709
2014-10-20,1885.62,1905.03,1882.3,1904.01,546459650.0,7492.888,4940.563
2014-10-21,1909.38,1942.45,1909.38,1941.28,619562200.0,7639.6987,5037.365
2014-10-22,1941.29,1949.31,1926.83,1927.11,655120700.0,7584.797,5001.165
2014-10-23,1931.02,1961.95,1931.02,1950.82,582502800.0,7678.1157,5062.6963
2014-10-24,1951.59,1965.27,1946.27,1964.58,522245820.0,7732.3584,5098.462
2014-10-27,1962.97,1964.64,1951.37,1961.63,491705630.0,7720.8154,5090.851
2014-10-28,1964.14,1985.05,1964.14,1985.05,548310100.0,7812.9946,5151.631
2014-10-29,1983.29,1991.4,1969.04,1982.3,569952500.0,7802.9507,5145.0083
2014-10-30,1979.49,1999.4,1974.75,1994.65,524165470.0,7852.119,5177.428
2014-10-31,2001.2,2018.19,2001.2,2018.05,712729000.0,7944.2637,5238.1855
2014-11-03,2018.21,2024.46,2013.68,2017.81,508736450.0,7943.3735,5237.598
2014-11-04,2015.81,2015.98,2001.01,2012.1,543311550.0,7920.948,5222.8115
2014-11-05,2015.29,2023.77,2014.42,2023.57,536628930.0,7968.8325,5254.3853
2014-11-06,2023.33,2031.61,2015.86,2031.21,515367740.0,8001.29,5275.7866
2014-11-07,2032.36,2034.26,2025.07,2031.92,525751680.0,8005.6006,5278.629
2014-11-10,2032.01,2038.7,2030.17,2038.26,478569500.0,8031.046,5295.4067
2014-11-11,2038.2,2041.28,2035.28,2039.68,404411300.0,8036.641,5299.0957
2014-11-12,2037.75,2040.33,2031.95,2038.25,485259600.0,8033.3135,5296.902
2014-11-13,2039.21,2046.18,2030.44,2039.33,499429660.0,8038.272,5300.1714
2014-11-14,2039.74,2042.22,2035.2,2039.82,470705060.0,8041.159,5302.075
2014-11-17,2038.29,2043.07,2034.46,2041.32,495556300.0,8047.4873,5306.2476
2014-11-18,2041.48,2056.08,2041.48,2051.8,485794300.0,8090.417,5334.554
2014-11-19,2051.16,2052.14,2040.37,2048.72,478726750.0,8078.758,5326.866
2014-11-20,2045.87,2053.84,2040.49,2052.75,467789200.0,8094.991,5337.57
2014-11-21,2057.46,2071.46,2056.75,2063.5,741511900.0,8138.521,5366.272
2014-11-24,2065.07,2070.17,2065.07,2069.41,493394000.0,8161.948,5381.719
2014-11-25,2070.15,2074.21,2064.75,2067.03,597605100.0,8153.41,5376.0894
2014-11-26,2067.36,2073.29,2066.62,2072.83,517876350.0,8178.1665,5392.413
2014-11-28,2074.78,2075.76,2065.06,2067.56,416521400.0,8157.744,5378.9473
2014-12-01,2065.78,2065.78,2049.57,2053.44,564631740.0,8102.3843,5342.445
2014-12-02,2053.77,2068.77,2053.77,2066.55,510403940.0,8154.539,5376.834
2014-12-03,2067.45,2076.28,2066.65,2074.33,546661100.0,8187.3696,5398.4814
2014-12-04,2073.64,2077.34,2062.34,2071.92,505428770.0,8178.0283,5392.3223
2014-12-05,2072.78,2079.47,2070.81,2075.37,504616740.0,8191.695,5401.333
2014-12-08,2074.84,2075.78,2054.27,2060.31,561256450.0,8133.4463,5362.926
2014-12-09,2056.55,2060.6,2034.17,2059.82,545168600.0,8131.587,5361.6997
2014-12-10,2058.86,2058.86,2024.26,2026.14,631221100.0,7999.1743,5274.3916
2014-12-11,2027.92,2055.53,2027.92,2035.33,544616400.0,8037.65,5299.761
2014-12-12,2030.36,2032.25,2002.33,2002.33,671126400.0,7907.6196,5214.0234
2014-12-15,2005.03,2018.69,1982.26,1989.63,683460600.0,7857.7065,5181.1123
2014-12-16,1986.71,2016.89,1972.56,1972.74,706264960.0,7791.0024,5137.13
2014-12-17,1973.77,2016.75,1973.77,2012.89,671782200.0,7949.8037,5241.8384
2014-12-18,2018.98,2061.23,2018.98,2061.23,677713000.0,8141.955,5368.5366
2014-12-19,2061.04,2077.85,2061.03,2070.65,1646902300.0,8179.22,5393.108
2014-12-22,2069.28,2078.76,2069.28,2078.54,571130600.0,8211.537,5414.4165
2014-12-23,2081.48,2086.73,2079.77,2082.17,483428770.0,8226.281,5424.1387
2014-12-24,2083.25,2087.56,2081.86,2081.88,229198460.0,8225.152,5423.394
2014-12-26,2084.3,2092.7,2084.3,2088.77,290110900.0,8252.391,5441.354
2014-12-29,2087.63,2093.55,2085.75,2090.57,336886200.0,8260.897,5446.9634
2014-12-30,2088.49,2088.49,2079.53,2080.35,315475420.0,8221.5,5420.986
2014-12-31,2082.11,2085.58,2057.94,2058.9,422132540.0,8136.752,5365.106
2015-01-02,2058.9,2072.36,2046.04,2058.2,435587740.0,8135.1006,5364.017
2015-01-05,2054.44,2054.44,2017.34,2020.58,621869500.0,7986.9473,5266.3296
2015-01-06,2022.15,2030.25,1992.44,2002.61,640380540.0,7915.9155,5219.4937
2015-01-07,2005.55,2029.61,2005.55,2025.9,546559000.0,8010.4814,5281.847
2015-01-08,2030.61,2064.08,2030.61,2062.14,614787000.0,8153.934,5376.435
2015-01-09,2063.45,2064.43,2038.33,2044.81,508986980.0,8085.4463,5331.2764
2015-01-12,2046.13,2049.3,2022.58,2028.26,543538940.0,8020.0054,5288.127
2015-01-13,2031.58,2056.93,2008.25,2023.03,624200640.0,8000.152,5275.036
2015-01-14,2018.4,2018.4,1988.44,2011.27,684866600.0,7953.879,5244.5254
2015-01-15,2013.75,2021.35,1991.47,1992.67,621963000.0,7880.5264,5196.159
2015-01-16,1992.25,2020.46,1988.12,2019.42,742480700.0,7986.416,5265.9795
2015-01-20,2020.76,2028.94,2004.49,2022.55,616621900.0,7999.0645,5274.3193
2015-01-21,2020.19,2038.29,2012.04,2032.12,552155600.0,8037.861,5299.9
2015-01-22,2034.3,2064.62,2026.38,2063.15,653642050.0,8160.672,5380.878
2015-01-23,2062.98,2062.98,2050.54,2051.82,546891000.0,8115.857,5351.328
2015-01-26,2050.42,2057.62,2040.97,2057.09,539970200.0,8136.761,5365.112
2015-01-27,2047.86,2047.86,2019.91,2029.55,602696600.0,8027.8306,5293.2866
2015-01-28,2032.34,2042.49,2001.49,2002.16,717223400.0,7920.185,5222.3086
2015-01-29,2002.45,2024.64,1989.18,2021.25,681082900.0,7996.251,5272.4644
2015-01-30,2019.35,2023.32,1993.38,1994.99,919574660.0,7892.5005,5204.054
2015-02-02,1996.67,2021.66,1980.9,2020.85,652420540.0,7995.005,5271.642
2015-02-03,2022.71,2050.3,2022.71,2050.03,669646400.0,8110.6226,5347.877
2015-02-04,2048.86,2054.74,2036.72,2041.51,650883140.0,8079.3433,5327.2524
2015-02-05,2043.45,2063.55,2043.45,2062.52,546894500.0,8164.11,5383.1445
2015-02-06,2062.28,2072.4,2049.97,2055.47,603001700.0,8138.305,5366.13
2015-02-09,2053.47,2056.16,2041.88,2046.74,513780480.0,8104.1206,5343.59
2015-02-10,2049.38,2070.86,2048.62,2068.59,546738100.0,8191.025,5400.8916
2015-02-11,2068.55,2073.48,2057.99,2068.53,511007600.0,8193.619,5402.6016
2015-02-12,2069.98,2088.53,2069.98,2088.48,577589570.0,8274.628,5456.0166
2015-02-13,2088.78,2097.03,2086.7,2096.99,510418560.0,8309.046,5478.7104
2015-02-17,2096.47,2101.3,2089.8,2100.34,565219600.0,8323.606,5488.3115
2015-02-18,2099.16,2100.23,2092.15,2099.68,466127970.0,8321.382,5486.844
2015-02-19,2099.25,2102.13,2090.79,2097.45,471760540.0,8313.874,5481.894
2015-02-20,2097.65,2110.61,2085.44,2110.3,630178300.0,8365.836,5516.1562
2015-02-23,2109.83,2110.05,2103.0,2109.66,503653220.0,8363.387,5514.541
2015-02-24,2109.1,2117.94,2105.87,2115.48,507302940.0,8386.707,5529.918
2015-02-25,2115.3,2119.59,2109.89,2113.86,492795800.0,8381.68,5526.6025
2015-02-26,2113.91,2113.91,2103.76,2110.74,511278200.0,8370.691,5519.358
2015-02-27,2110.88,2112.74,2103.75,2104.5,603843460.0,8346.002,5503.0786
